quarter,ifi_rgd_obs,hours_dngs15_obs,hours_sw07_obs,gdpdef_obs,gdp_rgd_obs,wage_rgd_obs,baag10_obs,ffr_obs,c_rgd_obs
1976Q2,2.346775844035946,-48.279383973147866,-2.1452826716590607,1.0549126837894665,0.8263738142164924,1.0842063143422869,0.5309126984126984,1.298846153846154,0.7350438262892435
1976Q3,1.0855126438313885,-48.30252661550355,-4.980656214653436,1.3737781188027451,0.4731321301381656,0.9792716222166878,0.47195312499999975,1.3208695652173912,1.2180276857094425
1976Q4,4.83451467252504,-48.567361421212254,-9.299911659278962,1.7257891007189603,0.8180428829448858,0.06683252609622044,0.5087841530054644,1.2185597826086962,1.2642366324133762
1977Q1,4.089327070728564,-48.220047233099415,-10.464408078966926,1.6510349814830416,1.2112512506588207,0.11001681938051172,0.43742063492063443,1.1651666666666676,1.2738326487660037
1977Q2,5.699517122665231,-47.07280612035791,-11.679668846234563,1.6242179752641437,1.7820095615546185,0.3511548983591037,0.4076587301587298,1.2893681318681323,0.6820536471139551
1977Q3,2.0270311942531656,-46.841744599750065,-13.549581220828031,1.3998673214445585,1.7836329984416255,0.5372392541554332,0.3677777777777784,1.4541032608695645,1.073973978484797
1977Q4,2.28890981757359,-46.149251853477615,-12.274245105472573,1.6630580227830145,0.1202619668926444,0.23723668977852205,0.33654166666666696,1.6278260869565213,1.2410034575631255
1978Q1,0.9168778846091633,-46.35239691931135,-9.480972726306447,1.6785416692013726,0.2793236949768886,1.1058609479159593,0.29724043715846893,1.6898888888888877,0.5472423370038857
1978Q2,6.857225390442186,-44.69230797025832,-6.552191962616234,1.9651979510417301,3.7804086893479125,-0.3760612173782659,0.286111111111111,1.8206593406593417,2.2890271944295577
1978Q3,2.7980686184207495,-44.84350588539988,-6.235902821765421,1.7629825067844755,0.9606021200483589,0.2437737982964335,0.2536507936507939,2.0236956521739122,0.5475007302610772
1978Q4,2.0052968415012624,-44.2753979323154,-3.26299117459439,1.9947740605743287,1.3274759589720275,0.4044686137477984,0.24289617486338733,2.3944565217391323,0.6197243308428289
1979Q1,1.0757361060931458,-44.13144885564565,0.4479477505358318,1.9162262978164213,0.2519383162330859,0.6371039027000576,0.26279569892473065,2.518305555555556,0.7950190207633172
1979Q2,-0.3093169186137638,-44.805657112327665,2.7513748137371294,2.248164277360457,0.06339662983173713,0.03646260775651751,0.319583333333334,2.5454945054945033,0.03050520497229362
1979Q3,2.2581318349915986,-44.30315116623221,2.7513748137371294,2.0283894820101223,0.7089338687698552,0.2052059121961721,0.3245634920634908,2.7350271739130427,1.314668408952749
1979Q4,-0.998910244774579,-44.4995729324078,15.586013748587789,2.006630854792798,0.332360876635667,0.37443401457905906,0.34469945355191234,3.395054347826087,0.8130857633276733
1980Q1,-1.0802484609629253,-45.1681974874005,28.75562786600119,2.2398586477001317,0.3292433414026114,0.46823721256695655,0.3810483870967736,3.7663186813186815,0.6911222854116749
1980Q2,-9.382761707345084,-47.22906164316002,27.836480915579386,2.2795566625331323,-2.0598281420683264,0.5428319962623585,0.719761904761905,3.167225274725274,-2.0893761278199285
1980Q3,0.9766537119486277,-47.79309152212507,26.403755641481723,2.2287489170596997,-0.15451018205595315,0.33549414427404883,0.5562369791666657,2.455788043478262,1.0778101795042123
1980Q4,3.6584080658304727,-46.87283434878555,37.21537653307411,2.6375908186216575,1.7636276424974406,-0.3139831505368311,0.5661065573770498,3.963206521739131,0.7971964071314483
1981Q1,0.8388426343868262,-46.28958074396847,41.071007310237576,2.520370411160759,1.9240043400323141,-0.07696787743255375,0.5740027322404364,4.148888888888891,0.3663690496487231
1981Q2,0.8737148976310295,-46.43710802284869,44.445857415079786,1.7644633553880011,-0.7019111950218361,0.2833897789660766,0.5073809523809518,4.446730769230768,-0.0034027724232097985
1981Q3,-0.24644639481076752,-47.280963266229556,48.82944118266096,1.924678498226969,1.1836105594360868,0.41265662030391226,0.4095572916666681,4.398586956521742,0.3231837766074236
1981Q4,-0.15982863266387798,-48.40272326225109,50.07593902689706,1.8103603436267954,-1.1876128006917162,-0.33613216990646405,0.6416530054644816,3.3970923913043474,-1.0083746794111321
1982Q1,-3.0631122027482913,-49.8296287686016,52.152138171740035,1.3942905969012886,-1.6708421872476449,0.6974992692667927,0.6913251366120221,3.5518611111111134,0.4315000606660209
1982Q2,-3.7468880626217094,-50.002045428022825,50.6536874214911,1.2840286473177374,0.43046625792473253,0.2957830403413962,0.7094841269841266,3.6285439560439534,-0.0151111440750123
1982Q3,-3.820846460443481,-50.6870282743219,47.444208195159774,1.3726740911544437,-0.4752435932002781,0.49073386333484986,0.7843750000000016,2.7531793478260864,0.7951838894356019
1982Q4,-0.4918991090102581,-51.51284047006961,35.2882694075127,1.028401641324114,0.0712272484502394,0.04276391816866596,0.9316393442622943,2.3209782608695657,1.7056866761730243
1983Q1,0.6255158505520185,-51.65836755823844,31.343031174439375,0.7975230574370042,1.1488799507118062,0.1115741126881956,0.8193650793650793,2.164388888888889,0.8906501804679745
1983Q2,2.914198888838404,-50.63526943207235,27.03467256080819,0.8933207243260013,2.333591612418377,-0.14200238924767886,0.6749999999999998,2.2006868131868123,2.3276154777834797
1983Q3,4.5933041620563095,-49.07437376860357,29.101221890540955,0.8420491101263422,1.7643736307688032,-0.24503241147593494,0.47256510416666586,2.364538043478261,1.7537598584605925
1983Q4,4.743319256421956,-48.0240390358033,29.69090418894399,0.8350178088981722,2.033087453421959,0.34842795580210584,0.4793750000000001,2.3575271739130423,1.6544664180669035
1984Q1,2.110167756811619,-47.30134837439239,30.690303122654996,1.1971070705905944,2.1611640913940686,-0.17295766537088164,0.44720430107526843,2.4221428571428576,0.8535780326767866
1984Q2,3.819662696022725,-46.14199259296331,37.41966669605415,0.8323388674665968,1.6795394845900566,0.3254164667776762,0.37150793650793723,2.6386813186813183,1.3774932079580076
1984Q3,1.4856261630877843,-46.48092624399895,37.487670778919664,0.7836592022089766,0.8608946609890773,0.5029918571160692,0.45920634920635006,2.848070652173912,0.6434693311763863
1984Q4,1.3090076398394987,-46.32901859253334,29.69090418894399,0.6945437004593411,0.7515047413672785,0.29486366406048675,0.46150273224043703,2.315624999999999,1.3100726648380157
1985Q1,0.25349068909695455,-46.20317518949663,28.110624389452937,1.0602508959264643,0.831197707890337,-0.08053697142812447,0.45170833333333293,2.118777777777778,1.4330364937799493
