observation_date,COMPNFB_19970311,COMPNFB_19970507,COMPNFB_19970618,COMPNFB_19970812,COMPNFB_19970909,COMPNFB_19971113,COMPNFB_19971204,COMPNFB_19980210,COMPNFB_19980310,COMPNFB_19980507,COMPNFB_19980604,COMPNFB_19980811,COMPNFB_19980903,COMPNFB_19981110,COMPNFB_19990209,COMPNFB_19990511,COMPNFB_19990805,COMPNFB_19991112,COMPNFB_20000208,COMPNFB_20000307,COMPNFB_20000504,COMPNFB_20000808,COMPNFB_20001102,COMPNFB_20010207,COMPNFB_20010508,COMPNFB_20010807,COMPNFB_20010905,COMPNFB_20011107,COMPNFB_20011206,COMPNFB_20020206,COMPNFB_20020507,COMPNFB_20020531,COMPNFB_20020809,COMPNFB_20020905,COMPNFB_20021107,COMPNFB_20021204,COMPNFB_20030206,COMPNFB_20030501,COMPNFB_20030807,COMPNFB_20030904,COMPNFB_20031106,COMPNFB_20040205,COMPNFB_20040304,COMPNFB_20040506,COMPNFB_20040603,COMPNFB_20040810,COMPNFB_20040902,COMPNFB_20041013,COMPNFB_20041104,COMPNFB_20041207,COMPNFB_20050203,COMPNFB_20050303,COMPNFB_20050505,COMPNFB_20050602,COMPNFB_20050809,COMPNFB_20050907,COMPNFB_20051103,COMPNFB_20051206,COMPNFB_20060202,COMPNFB_20060307,COMPNFB_20060504,COMPNFB_20060601,COMPNFB_20060808,COMPNFB_20060906,COMPNFB_20061102,COMPNFB_20061205,COMPNFB_20070207,COMPNFB_20070306,COMPNFB_20070503,COMPNFB_20070606,COMPNFB_20070807,COMPNFB_20070906,COMPNFB_20071107,COMPNFB_20071205,COMPNFB_20080206,COMPNFB_20080305,COMPNFB_20080507,COMPNFB_20080604,COMPNFB_20080808,COMPNFB_20080904,COMPNFB_20081106,COMPNFB_20081203,COMPNFB_20090205,COMPNFB_20090305,COMPNFB_20090507,COMPNFB_20090604,COMPNFB_20090811,COMPNFB_20090902,COMPNFB_20091105,COMPNFB_20091203,COMPNFB_20100204,COMPNFB_20100304,COMPNFB_20100506,COMPNFB_20100603,COMPNFB_20100810,COMPNFB_20100902,COMPNFB_20101104,COMPNFB_20101201,COMPNFB_20110203,COMPNFB_20110303,COMPNFB_20110505,COMPNFB_20110602,COMPNFB_20110809,COMPNFB_20110901,COMPNFB_20111103,COMPNFB_20111130,COMPNFB_20120202,COMPNFB_20120307,COMPNFB_20120503,COMPNFB_20120606,COMPNFB_20120808,COMPNFB_20120905,COMPNFB_20121101,COMPNFB_20121205,COMPNFB_20130207,COMPNFB_20130307,COMPNFB_20130502,COMPNFB_20130605,COMPNFB_20130816,COMPNFB_20130905,COMPNFB_20131114,COMPNFB_20131216,COMPNFB_20140206,COMPNFB_20140306,COMPNFB_20140507,COMPNFB_20140604,COMPNFB_20140808,COMPNFB_20140904,COMPNFB_20141106,COMPNFB_20141203,COMPNFB_20150205,COMPNFB_20150305,COMPNFB_20150506,COMPNFB_20150604,COMPNFB_20150811,COMPNFB_20150902,COMPNFB_20151105,COMPNFB_20151202,COMPNFB_20160204,COMPNFB_20160303,COMPNFB_20160504,COMPNFB_20160607,COMPNFB_20160809,COMPNFB_20160901,COMPNFB_20161103,COMPNFB_20161206,COMPNFB_20170202,COMPNFB_20170308,COMPNFB_20170504,COMPNFB_20170605,COMPNFB_20170809,COMPNFB_20170907,COMPNFB_20171102,COMPNFB_20171206,COMPNFB_20180201,COMPNFB_20180307,COMPNFB_20180503,COMPNFB_20180606,COMPNFB_20180815,COMPNFB_20180906,COMPNFB_20181101,COMPNFB_20181206,COMPNFB_20190206,COMPNFB_20190307,COMPNFB_20190502,COMPNFB_20190606,COMPNFB_20190815,COMPNFB_20190905,COMPNFB_20191106,COMPNFB_20191210,COMPNFB_20200206,COMPNFB_20200305,COMPNFB_20200507
1960-01-01,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.357,14.357,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.355,14.381,14.381,14.381,14.381,14.381,14.381,14.381,14.381,8.845,8.845,8.845,8.845,8.845,8.845,8.845,8.845,8.846,8.846,8.846,8.846,8.846,8.846,8.846,8.846,8.846,8.846,8.846,8.846,8.846,8.848,8.848,8.848,7.903,7.903,7.903,7.903,7.903,7.913,7.913,7.913,7.913,7.913,7.913,7.913,7.913,7.913,7.913,7.913,7.913,7.913,7.913,7.913,7.913,7.915,7.915,7.915,7.921,7.921,7.921,7.921,7.921,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.931,7.931,7.931,7.422,7.422,7.422,7.422,7.422,7.415,7.415,7.415,7.407,7.407,7.407,7.407,7.407,7.406,7.406
1960-04-01,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.3,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.442,14.442,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.466,14.466,14.466,14.466,14.466,14.466,14.466,14.466,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.898,8.901,8.901,8.901,7.954,7.954,7.954,7.954,7.954,7.963,7.963,7.963,7.964,7.964,7.964,7.964,7.964,7.963,7.963,7.963,7.963,7.963,7.963,7.963,7.963,7.966,7.966,7.966,7.972,7.972,7.972,7.972,7.972,7.981,7.981,7.981,7.981,7.981,7.981,7.981,7.981,7.982,7.982,7.982,7.47,7.47,7.47,7.47,7.47,7.464,7.464,7.464,7.456,7.456,7.456,7.456,7.456,7.455,7.455
1960-07-01,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.524,14.524,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.522,14.548,14.548,14.548,14.548,14.548,14.548,14.548,14.548,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.949,8.949,8.949,8.949,8.949,8.949,8.949,8.949,8.949,8.949,8.949,8.949,8.949,8.951,8.951,8.951,8.002,8.002,8.002,8.002,8.002,8.011,8.011,8.011,8.012,8.012,8.012,8.012,8.012,8.011,8.011,8.011,8.011,8.011,8.011,8.011,8.011,8.014,8.014,8.014,8.02,8.02,8.02,8.02,8.02,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,7.515,7.515,7.515,7.515,7.515,7.509,7.509,7.509,7.501,7.501,7.501,7.501,7.501,7.499,7.499
1960-10-01,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.6,14.6,14.6,14.5,14.5,14.5,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.587,14.587,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.585,14.611,14.611,14.611,14.611,14.611,14.611,14.611,14.611,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.99,8.99,8.99,8.037,8.037,8.037,8.037,8.037,8.047,8.047,8.047,8.047,8.047,8.047,8.047,8.047,8.047,8.047,8.047,8.047,8.047,8.047,8.047,8.047,8.049,8.049,8.049,8.055,8.055,8.055,8.055,8.055,8.065,8.065,8.065,8.065,8.065,8.065,8.065,8.065,8.065,8.065,8.065,7.547,7.547,7.547,7.547,7.547,7.542,7.542,7.542,7.534,7.534,7.534,7.534,7.534,7.532,7.532
1961-01-01,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.5,14.5,14.5,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.7,14.7,14.7,14.6,14.6,14.6,14.6,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.717,14.717,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.715,14.742,14.742,14.742,14.742,14.742,14.742,14.742,14.742,9.067,9.067,9.067,9.067,9.067,9.067,9.067,9.067,9.068,9.068,9.068,9.068,9.068,9.068,9.068,9.068,9.068,9.068,9.068,9.068,9.068,9.07,9.07,9.07,8.107,8.107,8.107,8.107,8.107,8.117,8.117,8.117,8.117,8.117,8.117,8.117,8.117,8.117,8.117,8.117,8.117,8.117,8.117,8.117,8.117,8.12,8.12,8.12,8.126,8.126,8.126,8.126,8.126,8.136,8.136,8.136,8.136,8.136,8.136,8.136,8.136,8.136,8.136,8.136,7.614,7.614,7.614,7.614,7.614,7.608,7.608,7.608,7.6,7.6,7.6,7.6,7.6,7.599,7.599
1961-04-01,14.8,14.8,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.925,14.925,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.923,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,9.195,9.195,9.195,9.195,9.195,9.195,9.195,9.195,9.196,9.196,9.196,9.196,9.196,9.196,9.196,9.196,9.196,9.196,9.196,9.196,9.196,9.198,9.198,9.198,8.221,8.221,8.221,8.221,8.221,8.231,8.231,8.231,8.231,8.231,8.231,8.231,8.231,8.231,8.231,8.231,8.231,8.231,8.231,8.231,8.231,8.233,8.233,8.233,8.239,8.239,8.239,8.239,8.239,8.249,8.249,8.249,8.249,8.249,8.249,8.249,8.249,8.25,8.25,8.25,7.72,7.72,7.72,7.72,7.72,7.715,7.715,7.715,7.706,7.706,7.706,7.706,7.706,7.705,7.705
1961-07-01,14.9,14.9,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.036,15.036,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.034,15.061,15.061,15.061,15.061,15.061,15.061,15.061,15.061,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.264,9.267,9.267,9.267,8.282,8.282,8.282,8.282,8.282,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.295,8.295,8.295,8.301,8.301,8.301,8.301,8.301,8.311,8.311,8.311,8.311,8.311,8.311,8.311,8.311,8.312,8.312,8.312,7.778,7.778,7.778,7.778,7.778,7.772,7.772,7.772,7.764,7.764,7.764,7.764,7.764,7.762,7.762
1961-10-01,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.9,14.9,14.9,14.9,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.2,15.2,15.2,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.143,15.143,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.141,15.169,15.169,15.169,15.169,15.169,15.169,15.169,15.169,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.333,9.333,9.333,8.342,8.342,8.342,8.342,8.342,8.353,8.353,8.353,8.353,8.353,8.353,8.353,8.353,8.353,8.353,8.353,8.353,8.353,8.353,8.353,8.353,8.355,8.355,8.355,8.361,8.361,8.361,8.361,8.361,8.372,8.372,8.372,8.372,8.372,8.372,8.372,8.372,8.372,8.372,8.372,7.835,7.835,7.835,7.835,7.835,7.828,7.828,7.828,7.82,7.82,7.82,7.82,7.82,7.818,7.818
1962-01-01,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.4,15.4,15.4,15.3,15.3,15.3,15.3,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.389,15.389,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.387,15.415,15.415,15.415,15.415,15.415,15.415,15.415,15.415,9.481,9.481,9.481,9.481,9.481,9.481,9.481,9.481,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.484,9.484,9.484,8.475,8.475,8.475,8.475,8.475,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.486,8.488,8.488,8.488,8.495,8.495,8.495,8.495,8.495,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.506,8.506,8.506,7.959,7.959,7.959,7.959,7.959,7.953,7.953,7.953,7.944,7.944,7.944,7.944,7.944,7.943,7.943
1962-04-01,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.5,15.5,15.5,15.4,15.4,15.4,15.4,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.49,15.49,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.488,15.516,15.516,15.516,15.516,15.516,15.516,15.516,15.516,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.544,9.544,9.544,9.544,9.544,9.544,9.544,9.544,9.544,9.544,9.544,9.544,9.544,9.547,9.547,9.547,8.532,8.532,8.532,8.532,8.532,8.543,8.543,8.543,8.543,8.543,8.543,8.543,8.543,8.543,8.543,8.543,8.543,8.543,8.543,8.543,8.543,8.545,8.545,8.545,8.551,8.551,8.551,8.551,8.551,8.562,8.562,8.562,8.562,8.562,8.562,8.562,8.562,8.563,8.563,8.563,8.013,8.013,8.013,8.013,8.013,8.007,8.007,8.007,7.998,7.998,7.998,7.998,7.998,7.996,7.996
1962-07-01,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.6,15.6,15.6,15.5,15.5,15.5,15.5,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.597,15.597,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.595,15.623,15.623,15.623,15.623,15.623,15.623,15.623,15.623,9.609,9.609,9.609,9.609,9.609,9.609,9.609,9.609,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.613,9.613,9.613,8.592,8.592,8.592,8.592,8.592,8.602,8.602,8.602,8.603,8.603,8.603,8.603,8.603,8.602,8.602,8.602,8.602,8.602,8.602,8.602,8.602,8.605,8.605,8.605,8.611,8.611,8.611,8.611,8.611,8.622,8.622,8.622,8.622,8.622,8.622,8.622,8.622,8.622,8.622,8.622,8.069,8.069,8.069,8.069,8.069,8.063,8.063,8.063,8.054,8.054,8.054,8.054,8.054,8.053,8.053
1962-10-01,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.5,15.5,15.5,15.5,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.744,15.744,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.742,15.77,15.77,15.77,15.77,15.77,15.77,15.77,15.77,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.703,9.703,9.703,8.671,8.671,8.671,8.671,8.671,8.682,8.682,8.682,8.682,8.682,8.682,8.682,8.682,8.682,8.682,8.682,8.682,8.682,8.682,8.682,8.682,8.684,8.684,8.684,8.691,8.691,8.691,8.691,8.691,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.702,8.702,8.702,8.143,8.143,8.143,8.143,8.143,8.136,8.136,8.136,8.127,8.127,8.127,8.127,8.127,8.126,8.126
1963-01-01,15.8,15.8,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.8,15.8,15.8,15.8,15.8,15.8,15.7,15.7,15.7,15.7,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.9,15.9,15.9,15.8,15.8,15.8,15.8,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.896,15.896,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.894,15.923,15.923,15.923,15.923,15.923,15.923,15.923,15.923,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.794,9.797,9.797,9.797,8.757,8.757,8.757,8.757,8.757,8.768,8.768,8.768,8.768,8.768,8.768,8.768,8.768,8.768,8.768,8.768,8.768,8.768,8.768,8.768,8.768,8.77,8.77,8.77,8.777,8.777,8.777,8.777,8.777,8.787,8.787,8.787,8.787,8.787,8.787,8.787,8.787,8.788,8.788,8.788,8.224,8.224,8.224,8.224,8.224,8.218,8.218,8.218,8.208,8.208,8.208,8.208,8.208,8.207,8.207
1963-04-01,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.0,16.0,16.0,15.9,15.9,15.9,15.9,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.979,15.979,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,16.006,16.006,16.006,16.006,16.006,16.006,16.006,16.006,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.845,9.848,9.848,9.848,8.801,8.801,8.801,8.801,8.801,8.812,8.812,8.812,8.812,8.812,8.812,8.812,8.812,8.812,8.812,8.812,8.812,8.812,8.812,8.812,8.812,8.815,8.815,8.815,8.821,8.821,8.821,8.821,8.821,8.832,8.832,8.832,8.832,8.832,8.832,8.832,8.832,8.832,8.832,8.832,8.265,8.265,8.265,8.265,8.265,8.259,8.259,8.259,8.25,8.25,8.25,8.25,8.25,8.248,8.248
1963-07-01,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.9,15.9,15.9,15.9,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.2,16.2,16.2,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.143,16.143,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.141,16.141,16.141,16.141,16.141,16.141,16.141,16.141,16.141,16.141,16.141,16.17,16.17,16.17,16.17,16.17,16.17,16.17,16.17,9.945,9.945,9.945,9.945,9.945,9.945,9.945,9.945,9.946,9.946,9.946,9.946,9.946,9.946,9.946,9.946,9.946,9.946,9.946,9.946,9.946,9.949,9.949,9.949,8.891,8.891,8.891,8.891,8.891,8.902,8.902,8.902,8.902,8.902,8.902,8.902,8.902,8.902,8.902,8.902,8.902,8.902,8.902,8.902,8.902,8.905,8.905,8.905,8.911,8.911,8.911,8.911,8.911,8.922,8.922,8.922,8.922,8.922,8.922,8.922,8.922,8.923,8.923,8.923,8.35,8.35,8.35,8.35,8.35,8.344,8.344,8.344,8.335,8.335,8.335,8.335,8.335,8.333,8.333
1963-10-01,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.1,16.1,16.1,16.1,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.3,16.3,16.3,16.2,16.2,16.2,16.2,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.328,16.328,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.326,16.356,16.356,16.356,16.356,16.356,16.356,16.356,16.356,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.063,10.063,10.063,8.994,8.994,8.994,8.994,8.994,9.005,9.005,9.005,9.005,9.005,9.005,9.005,9.005,9.005,9.005,9.005,9.005,9.005,9.005,9.005,9.005,9.007,9.007,9.007,9.014,9.014,9.014,9.014,9.014,9.025,9.025,9.025,9.025,9.025,9.025,9.025,9.025,9.026,9.026,9.026,8.446,8.446,8.446,8.446,8.446,8.439,8.439,8.439,8.43,8.43,8.43,8.43,8.43,8.428,8.428
1964-01-01,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.3,16.3,16.3,16.2,16.2,16.2,16.2,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.317,16.317,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.315,16.344,16.344,16.344,16.344,16.344,16.344,16.344,16.344,10.053,10.053,10.053,10.053,10.053,10.053,10.053,10.053,10.054,10.054,10.054,10.054,10.054,10.054,10.054,10.054,10.054,10.054,10.054,10.054,10.054,10.056,10.056,10.056,8.987,8.987,8.987,8.987,8.987,8.998,8.998,8.998,8.998,8.998,8.998,8.998,8.998,8.998,8.998,8.998,8.998,8.998,8.998,8.998,8.998,9.001,9.001,9.001,9.007,9.007,9.007,9.007,9.007,9.018,9.018,9.018,9.018,9.018,9.018,9.018,9.018,9.019,9.019,9.019,8.44,8.44,8.44,8.44,8.44,8.426,8.426,8.426,8.417,8.417,8.417,8.417,8.417,8.415,8.415
